index,time_series,FileName,dt_string
2019-10-01 18:00:00,2019-10-01 18:00:00,,
2019-10-02 00:00:00,2019-10-02 00:00:00,,
2019-10-02 06:00:00,2019-10-02 06:00:00,,
2019-10-02 12:00:00,2019-10-02 12:00:00,,
2019-10-02 18:00:00,2019-10-02 18:00:00,,
2019-10-03 00:00:00,2019-10-03 00:00:00,,
2019-10-03 06:00:00,2019-10-03 06:00:00,,
2019-10-03 12:00:00,2019-10-03 12:00:00,,
2019-10-03 18:00:00,2019-10-03 18:00:00,,
2019-10-04 00:00:00,2019-10-04 00:00:00,,
2019-10-04 06:00:00,2019-10-04 06:00:00,,
2019-10-04 12:00:00,2019-10-04 12:00:00,,
2019-10-04 18:00:00,2019-10-04 18:00:00,,
2019-10-05 00:00:00,2019-10-05 00:00:00,,
2019-10-05 06:00:00,2019-10-05 06:00:00,,
2019-10-05 12:00:00,2019-10-05 12:00:00,,
2019-10-05 18:00:00,2019-10-05 18:00:00,,
2019-10-06 00:00:00,2019-10-06 00:00:00,,
2019-10-06 06:00:00,2019-10-06 06:00:00,,
2019-10-06 12:00:00,2019-10-06 12:00:00,,
2019-10-06 18:00:00,2019-10-06 18:00:00,,
2019-10-07 00:00:00,2019-10-07 00:00:00,,
2019-10-07 06:00:00,2019-10-07 06:00:00,,
2019-10-07 12:00:00,2019-10-07 12:00:00,,
2019-10-07 18:00:00,2019-10-07 18:00:00,,
2020-02-14 18:00:00,2020-02-14 18:00:00,,
2020-02-17 18:00:00,2020-02-17 18:00:00,,
2020-05-25 00:00:00,2020-05-25 00:00:00,,
2020-05-25 06:00:00,2020-05-25 06:00:00,,
2020-05-25 12:00:00,2020-05-25 12:00:00,,
2020-05-28 00:00:00,2020-05-28 00:00:00,,
2020-05-28 06:00:00,2020-05-28 06:00:00,,
2020-05-28 12:00:00,2020-05-28 12:00:00,,
